"filename", "language", "Dart", "comment", "blank", "total"
"d:\Fuky9capstone\Environment\Mobile_Capstone\codeui-mobile\lib\common\models\response\functionals\moderator_get_all_categories.dart", "Dart", 64, 0, 12, 76
"d:\Fuky9capstone\Environment\Mobile_Capstone\codeui-mobile\lib\common\models\response\functionals\moderator_get_one_category.dart", "Dart", 24, 0, 4, 28
"d:\Fuky9capstone\Environment\Mobile_Capstone\codeui-mobile\lib\services\helpers\element_helper.dart", "Dart", 42, 0, 10, 52
"d:\Fuky9capstone\Environment\Mobile_Capstone\codeui-mobile\lib\view\widget\Moderator_categories_detail_and_delete.dart", "Dart", 221, 14, 19, 254
"d:\Fuky9capstone\Environment\Mobile_Capstone\codeui-mobile\lib\view\widget\moderator_categories_management.dart", "Dart", 258, 8, 4, 270
"d:\Fuky9capstone\Environment\Mobile_Capstone\codeui-mobile\lib\view\widget\moderator_get_accounts_report.dart", "Dart", 222, 22, 11, 255
"d:\Fuky9capstone\Environment\Mobile_Capstone\codeui-mobile\lib\view\widget\moderator_get_all_categories.dart", "Dart", 219, 20, 11, 250
"d:\Fuky9capstone\Environment\Mobile_Capstone\codeui-mobile\lib\view\widget\moderator_home_widget.dart", "Dart", -14, -1, 0, -15
"d:\Fuky9capstone\Environment\Mobile_Capstone\codeui-mobile\lib\view\widget\moderator_packages_management.dart", "Dart", 200, 7, 4, 211
"d:\Fuky9capstone\Environment\Mobile_Capstone\codeui-mobile\lib\view\widget\moderator_reports_management .dart", "Dart", 2, -1, 0, 1
"Total", "-", 1238, 69, 75, 1382